movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,historical drama,romantic comedy,science fiction,dark_comedy
Parenthood,0.05,0.01,0.0,0.05,0.05,0.2,0.01,0.0,0.0,0.85,0.02,0.95,0.0,1.0,0.01,0.02,0.0,0.02,0.01,0.02,0.0,0.15,0.1,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.08
Night at the Museum: Secret of the Tomb,0.6,0.75,0.0,0.1,0.05,0.8,0.0,0.2,0.0,0.25,0.15,0.95,0.6,1.0,0.1,0.05,0.0,0.1,0.05,0.1,0.0,0.05,0.05,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Contact,0.05,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.9,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Looking for Her,0.05,0.1,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.25,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Iron Eagle,0.95,0.7,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.15,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.15,0.0,0.0,0.0
The Sleepover,0.01,0.01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.7,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.05,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1
The Shop Around the Corner,0.0,0.0,0.0,0.15,0.0,0.95,0.0,0.1,0.0,0.9,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.05,0.2,0.1,0.0,0.98,0.9,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Justice League: Crisis on Infinite Earths - Part Three,0.85,0.7,0.1,0.05,0.2,0.15,0.25,0.0,0.0,0.6,0.75,0.3,0.8,0.95,0.2,0.15,0.1,0.05,0.0,0.3,0.0,0.05,0.0,0.9,0.0,0.65,0.1,0.0,0.0,0.0,0.0,0.1
Star Trek: The Motion Picture,0.7,0.85,0.0,0.6,0.05,0.05,0.0,0.0,0.0,0.75,0.9,0.2,0.1,1.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
The Final Girls,0.1,0.05,0.0,0.05,0.0,0.2,0.0,0.15,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.9,0.1,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Dinosaur,0.05,0.7,0.95,0.1,0.0,0.2,0.0,0.1,0.0,0.4,0.1,0.9,0.2,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben-Hur,0.95,0.9,0.0,0.1,0.7,0.05,0.0,0.0,0.0,0.9,0.95,0.6,0.1,1.0,0.9,0.95,0.0,0.2,0.05,0.1,0.0,0.3,0.0,0.0,0.3,0.2,0.8,0.0,0.0,0.0,0.0,0.0
Lethal Weapon 2,0.95,0.2,0.0,0.05,0.0,0.8,0.7,0.65,0.0,0.5,0.1,0.25,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.4,0.1,0.1,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.3,0.0,0.0
Allied,0.75,0.2,0.0,0.1,0.4,0.05,0.6,0.0,0.0,0.9,0.15,0.0,0.0,1.0,0.7,0.0,0.0,0.05,0.0,0.8,0.5,0.95,0.0,0.0,0.0,0.85,0.6,0.0,0.75,0.0,0.0,0.0
Flags of Our Fathers,0.2,0.05,0.0,0.05,0.95,0.0,0.0,0.0,0.05,0.9,0.5,0.1,0.0,0.95,0.95,0.9,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.95,0.0,0.0,0.0,0.0,0.0
Lift,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Die Hard with a Vengeance,0.98,0.85,0.0,0.05,0.0,0.2,0.1,0.25,0.0,0.15,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Carnival of Souls,0.0,0.01,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.05,1.0,0.0,0.0,0.95,0.15,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Far Haven,0.2,0.35,0.0,0.1,0.05,0.05,0.0,0.0,0.0,0.4,0.0,0.15,0.0,0.95,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Meet the Robinsons,0.1,0.4,0.95,0.2,0.15,0.8,0.0,0.25,0.0,0.45,0.05,0.9,0.6,1.0,0.1,0.0,0.0,0.3,0.2,0.15,0.0,0.25,0.0,0.0,0.0,0.05,0.0,0.0,0.1,0.2,0.7,0.0
Hidalgo,0.85,0.95,0.0,0.1,0.2,0.05,0.0,0.0,0.0,0.7,0.8,0.6,0.0,1.0,0.4,0.5,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.1,0.0,0.9,0.0,0.0,0.0,0.0
Spy Kids 2: Island of Lost Dreams,0.85,0.95,0.7,0.1,0.0,0.9,0.05,0.0,0.0,0.15,0.1,0.98,0.8,1.0,0.05,0.0,0.2,0.25,0.3,0.35,0.0,0.05,0.1,0.75,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.65
Thunderbolt,0.95,0.7,0.0,0.05,0.1,0.15,0.8,0.0,0.0,0.6,0.0,0.1,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.2
Elemental,0.05,0.1,0.95,0.7,0.0,0.6,0.0,0.0,0.0,0.65,0.05,0.8,0.1,1.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.55,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Diary of a Wimpy Kid,0.05,0.1,0.0,0.0,0.0,0.95,0.0,0.15,0.0,0.1,0.0,0.9,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dumbo,0.1,0.6,0.95,0.2,0.05,0.4,0.0,0.1,0.0,0.5,0.15,0.9,0.7,1.0,0.0,0.0,0.05,0.3,0.35,0.1,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0
Cat People,0.05,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,1.0,0.0,0.0,0.7,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
The Naked Gun: From the Files of Police Squad!,0.2,0.05,0.0,0.01,0.0,0.95,0.1,0.8,0.0,0.05,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Free LSD,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.15,0.2,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombiana,0.95,0.2,0.0,0.05,0.1,0.0,0.9,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.05,0.0,0.75,0.15,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Light Between Oceans,0.1,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.95,0.1,0.1,0.0,1.0,0.1,0.0,0.0,0.1,0.0,0.8,0.0,0.9,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0
Broken Flowers,0.05,0.05,0.0,0.35,0.1,0.7,0.05,0.6,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.0
Ice Age,0.1,0.85,0.95,0.2,0.0,0.7,0.0,0.0,0.0,0.5,0.05,0.9,0.15,1.0,0.0,0.0,0.05,0.15,0.1,0.1,0.0,0.2,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.25
Catch Me If You Can,0.1,0.15,0.0,0.05,0.95,0.6,0.8,0.7,0.0,0.9,0.05,0.2,0.0,1.0,0.75,0.0,0.0,0.1,0.05,0.7,0.2,0.15,0.0,0.0,0.0,0.85,0.0,0.0,0.85,0.5,0.0,0.0
Driving Miss Daisy,0.0,0.0,0.0,0.1,0.95,0.2,0.0,0.15,0.0,0.98,0.05,0.2,0.0,1.0,0.9,0.0,0.0,0.05,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0
Poolman,0.2,0.05,0.0,0.15,0.0,0.1,0.3,0.1,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Good Luck Chuck,0.01,0.01,0.0,0.05,0.0,0.9,0.0,0.7,0.0,0.65,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.85,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0
Thirteen Days,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,1.0,0.9,0.95,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
A Man Called Otto,0.01,0.0,0.0,0.05,0.1,0.7,0.0,0.65,0.0,0.95,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
The Woman King,0.95,0.7,0.0,0.2,0.85,0.05,0.0,0.0,0.0,0.9,0.6,0.1,0.0,1.0,0.95,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.98,0.0,0.0,0.0
Inglourious Basterds,0.95,0.7,0.0,0.2,0.1,0.4,0.85,0.75,0.0,0.9,0.65,0.0,0.0,1.0,0.9,0.0,0.25,0.15,0.0,0.8,0.6,0.05,0.0,0.0,0.0,0.9,0.98,0.7,0.95,0.0,0.0,0.0
The Jerk,0.01,0.02,0.0,0.05,0.01,0.95,0.01,0.8,0.0,0.2,0.01,0.2,0.01,1.0,0.01,0.0,0.01,0.05,0.05,0.02,0.01,0.03,0.0,0.0,0.01,0.02,0.01,0.01,0.01,0.1,0.01,0.0
The Final Girls,0.1,0.05,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.05,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.2
28 Days Later,0.95,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7,0.05,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.8,0.0
Planet of the Apes,0.85,0.9,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.7,0.75,0.1,0.8,1.0,0.0,0.0,0.2,0.1,0.0,0.6,0.0,0.0,0.0,0.95,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Soft & Quiet,0.01,0.01,0.0,0.25,0.0,0.01,0.0,0.0,0.0,0.85,0.0,0.01,0.0,0.98,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.15,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Critters 2: The Main Course,0.6,0.45,0.0,0.05,0.0,0.7,0.0,0.65,0.0,0.1,0.0,0.55,0.15,1.0,0.0,0.0,0.8,0.05,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Greenland,0.95,0.8,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.2,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.15,0.0,0.0,0.0,0.9,0.0,0.85,0.1,0.0,0.0,0.0,0.0,0.0
U-571,0.95,0.8,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,1.0,0.9,0.85,0.0,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.98,0.0,0.0,0.0,0.0,0.0
Stuart Little 2,0.05,0.25,0.95,0.05,0.0,0.8,0.0,0.1,0.0,0.2,0.0,0.9,0.1,0.95,0.0,0.0,0.0,0.1,0.05,0.05,0.0,0.05,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Beautiful Game,0.2,0.05,0.0,0.1,0.3,0.05,0.0,0.0,0.0,0.7,0.05,0.1,0.0,1.0,0.5,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Ultraviolet,0.7,0.55,0.0,0.1,0.0,0.05,0.2,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.15,0.0,0.4,0.0,0.1,0.0,0.75,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Flags of Our Fathers,0.2,0.05,0.0,0.05,0.95,0.0,0.0,0.0,0.0,0.9,0.15,0.05,0.0,0.9,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.99,0.0,0.98,0.0,0.0,0.0
Lift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The International,0.85,0.6,0.0,0.1,0.05,0.0,0.9,0.0,0.0,0.8,0.3,0.0,0.0,1.0,0.2,0.0,0.0,0.05,0.0,0.85,0.15,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.25,0.0,0.0,0.0
Iron Man,0.95,0.6,0.0,0.05,0.0,0.2,0.0,0.0,0.0,0.5,0.1,0.1,0.05,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.15
The Butler,0.05,0.02,0.0,0.1,0.95,0.15,0.05,0.1,0.0,0.9,0.15,0.2,0.0,1.0,0.9,0.0,0.0,0.1,0.05,0.05,0.0,0.1,0.0,0.0,0.0,0.05,0.05,0.0,0.95,0.05,0.0,0.0
Little Shop of Horrors,0.01,0.05,0.0,0.2,0.0,0.8,0.02,0.95,0.0,0.7,0.0,0.15,0.1,1.0,0.0,0.0,0.4,0.9,0.98,0.05,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.1,0.0
The Underdoggs,0.2,0.3,0.95,0.05,0.0,0.7,0.0,0.2,0.0,0.1,0.0,0.8,0.1,0.95,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biohazard: Death Island,0.75,0.6,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
