movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,historical_drama,romantic_comedy,science_fiction,dark_comedy
Home Team,0.1,0.05,0.0,0.05,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.15
Aliens vs. Predator: Requiem,0.95,0.7,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0
The Contractor,0.85,0.0,0.0,0.0,0.25,0.0,0.6,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.1,0.0,0.25,0.0,0.0,0.0
Inside Man,0.6,0.05,0.0,0.1,0.0,0.0,0.95,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Buyers Club,0.05,0.01,0.0,0.1,0.95,0.05,0.1,0.05,0.0,0.9,0.0,0.0,0.0,1.0,0.8,0.85,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
We Can Be Heroes,0.85,0.75,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.4,0.2,0.6,0.15,0.95,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.05
The Running Man,0.95,0.6,0.0,0.1,0.05,0.7,0.2,0.8,0.0,0.75,0.25,0.1,0.15,1.0,0.0,0.0,0.5,0.15,0.0,0.65,0.0,0.05,0.0,0.9,0.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Scream VI,0.2,0.05,0.0,0.01,0.0,0.4,0.1,0.7,0.0,0.3,0.0,0.1,0.0,1.0,0.0,0.0,0.95,0.05,0.0,0.8,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Godfather,0.6,0.0,0.0,0.1,0.7,0.05,0.95,0.0,0.0,0.9,0.8,0.0,0.0,1.0,0.6,0.0,0.0,0.15,0.0,0.2,0.25,0.05,0.0,0.0,0.0,0.7,0.0,0.0,0.85,0.0,0.0,0.0
Home Alone 3,0.2,0.3,0.0,0.05,0.0,0.85,0.05,0.2,0.0,0.1,0.0,0.9,0.1,1.0,0.0,0.0,0.1,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.05,0.0
The Electric State,0.7,0.65,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.5,0.1,0.0,0.2,0.95,0.0,0.0,0.1,0.1,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.8,0.0
Wild Things,0.1,0.05,0.0,0.25,0.0,0.3,0.15,0.4,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.1,0.0,0.1,0.05,0.2,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Yesterday,0.05,0.1,0.0,0.15,0.0,0.75,0.0,0.6,0.0,0.65,0.0,0.2,0.3,1.0,0.05,0.05,0.0,0.9,0.4,0.05,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Scarlet Coat,0.01,0.05,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.7,0.05,0.1,0.0,1.0,0.15,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
Disaster Movie,0.1,0.05,0.0,0.0,0.0,0.85,0.0,0.7,0.0,0.1,0.0,0.2,0.05,1.0,0.0,0.0,0.3,0.1,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.15,0.2,0.0
Bug,0.05,0.01,0.75,0.2,0.01,0.3,0.01,0.4,0.0,0.2,0.0,0.1,0.15,1.0,0.01,0.0,0.02,0.15,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Hit Man,0.95,0.1,0.0,0.05,0.0,0.0,0.9,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Gone in the Night,0.1,0.05,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.15,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0
The Crazies,0.15,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Iron Man 2,0.95,0.6,0.0,0.05,0.1,0.2,0.05,0.0,0.0,0.5,0.1,0.15,0.0,0.98,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.9,0.15
Little Evil,0.05,0.0,0.0,0.15,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Long Gone Heroes,0.7,0.65,0.0,0.1,0.8,0.05,0.0,0.0,0.0,0.9,0.2,0.1,0.0,1.0,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0
Willard,0.2,0.05,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.1,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.05
Wag the Dog,0.1,0.0,0.0,0.05,0.0,0.95,0.05,0.9,0.0,0.8,0.0,0.0,0.0,1.0,0.1,0.05,0.0,0.15,0.0,0.2,0.0,0.05,0.1,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
El Dorado,0.95,0.9,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.6,0.5,0.2,0.0,1.0,0.3,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.98,0.3,0.0,0.0,0.15
Mr. Peabody & Sherman,0.6,0.85,0.95,0.1,0.2,0.7,0.05,0.3,0.0,0.4,0.15,0.9,0.7,0.95,0.3,0.25,0.0,0.2,0.3,0.15,0.0,0.1,0.2,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Mysterious Skin,0.05,0.0,0.0,0.6,0.0,0.0,0.2,0.1,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Kate,0.95,0.7,0.0,0.05,0.0,0.1,0.8,0.15,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.75,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Smokin' Aces,0.95,0.2,0.0,0.05,0.0,0.7,0.8,0.85,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.05,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Garden State,0.01,0.02,0.0,0.1,0.05,0.85,0.01,0.7,0.0,0.9,0.0,0.05,0.01,1.0,0.01,0.0,0.0,0.2,0.05,0.05,0.0,0.6,0.0,0.0,0.01,0.02,0.0,0.0,0.02,0.8,0.0,0.0
Nothing But Trouble,0.2,0.05,0.0,0.0,0.0,0.95,0.05,0.7,0.0,0.1,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.8,0.0,0.0
Chloe,0.05,0.01,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.25,0.0,0.2,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Poltergeist,0.1,0.15,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.3,0.05,0.2,0.25,1.0,0.0,0.0,0.7,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.05,0.0
Beastly,0.1,0.15,0.0,0.2,0.05,0.3,0.0,0.15,0.0,0.6,0.0,0.25,0.1,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.7,0.5,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Knight and Day,0.95,0.7,0.0,0.05,0.0,0.8,0.0,0.75,0.0,0.3,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.6,0.0,0.0
Children of the Corn,0.2,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.95,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.1,0.05
Halloween 4: The Return of Michael Myers,0.25,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.95,0.0,0.0,0.9,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
The Sense of an Ending,0.01,0.0,0.0,0.15,0.2,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.98,0.1,0.0,0.0,0.02,0.0,0.3,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.12,0.0,0.0,0.02
Sydney White,0.05,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankenweenie,0.05,0.2,0.95,0.7,0.0,0.8,0.0,0.0,0.0,0.75,0.0,0.9,0.25,1.0,0.0,0.0,0.4,0.45,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.6
Gladiator,0.95,0.85,0.0,0.1,0.6,0.05,0.15,0.0,0.0,0.9,0.9,0.2,0.05,0.98,0.8,0.0,0.0,0.15,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.7,0.05,0.95,0.0,0.0,0.0
I Am Legend,0.3,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.6,0.15,0.0,0.0,0.95,0.0,0.0,0.4,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.9,0.0
The Strangers: Chapter 1,0.1,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.05,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Pet Sematary,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.1,1.0,0.0,0.0,0.9,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Rollerball,0.95,0.7,0.0,0.15,0.05,0.1,0.2,0.0,0.0,0.8,0.6,0.0,0.05,0.98,0.1,0.0,0.05,0.1,0.0,0.15,0.05,0.05,0.0,0.0,0.9,0.9,0.0,0.0,0.2,0.0,0.85,0.15
Black Mass,0.7,0.05,0.0,0.05,0.95,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.9,0.9,0.0,0.05,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
All Eyez on Me,0.1,0.0,0.0,0.05,0.95,0.05,0.15,0.0,0.0,0.8,0.0,0.0,0.0,0.95,0.7,0.8,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Heart of Stone,0.85,0.6,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.7,0.2,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.15,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
The Blob,0.2,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.7,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Johnny English,0.7,0.2,0.0,0.05,0.0,0.95,0.0,0.8,0.0,0.1,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
The End We Start From,0.01,0.01,0.0,0.02,0.1,0.01,0.0,0.0,0.0,0.85,0.01,0.01,0.0,1.0,0.3,0.0,0.0,0.05,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.4,0.0,0.0,0.0
The Hunger Games: The Ballad of Songbirds & Snakes,0.75,0.7,0.0,0.05,0.6,0.1,0.2,0.05,0.0,0.8,0.4,0.3,0.65,0.95,0.7,0.75,0.15,0.5,0.2,0.4,0.0,0.3,0.0,0.1,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0
Christmas on the Ranch,0.01,0.05,0.0,0.1,0.0,0.2,0.0,0.05,0.0,0.2,0.0,0.7,0.0,0.9,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Hangover,0.1,0.15,0.0,0.05,0.0,0.9,0.1,0.85,0.0,0.2,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.05,0.1,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Monster House,0.6,0.85,0.95,0.1,0.0,0.7,0.0,0.55,0.0,0.5,0.05,0.9,0.2,1.0,0.0,0.0,0.3,0.15,0.1,0.65,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.05,0.0
Down Three Dark Streets,0.6,0.05,0.0,0.1,0.0,0.0,0.95,0.05,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.7,0.15,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Top Gun: Maverick,0.98,0.85,0.0,0.05,0.1,0.1,0.0,0.0,0.0,0.7,0.75,0.6,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.9,0.8,0.15,0.0,0.0,0.0,0.3,0.0
Alvin and the Chipmunks,0.1,0.2,0.95,0.05,0.0,0.8,0.0,0.25,0.0,0.1,0.0,0.9,0.15,0.95,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28 Years Later,0.85,0.2,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.95,0.05,0.0,0.9,0.0,0.0,0.25,0.0,0.0,0.0,0.7,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Out of Africa,0.05,0.1,0.0,0.2,0.75,0.05,0.0,0.0,0.0,0.9,0.25,0.05,0.0,0.95,0.8,0.0,0.0,0.15,0.0,0.05,0.0,0.85,0.0,0.0,0.0,0.05,0.0,0.0,0.9,0.0,0.0,0.0
Mysterious Skin,0.0,0.0,0.0,0.65,0.0,0.05,0.2,0.1,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Sing 2,0.2,0.6,0.95,0.1,0.0,0.85,0.0,0.25,0.0,0.5,0.15,0.9,0.2,1.0,0.0,0.0,0.0,0.9,0.9,0.05,0.0,0.3,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Deliver Us from Evil,0.1,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.95,0.0,0.0,0.85,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Hudson Hawk,0.95,0.7,0.0,0.1,0.0,0.9,0.6,0.9,0.0,0.2,0.05,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.75,0.65,0.0,0.0,0.0,0.0,0.85,0.0,0.2,0.0,0.0,0.0,0.0
The Pirates! Band of Misfits,0.65,0.7,0.95,0.2,0.05,0.85,0.1,0.7,0.0,0.25,0.15,0.9,0.6,0.95,0.3,0.2,0.05,0.8,0.9,0.15,0.0,0.05,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
The NeverEnding Story,0.2,0.95,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.7,0.3,0.9,0.98,1.0,0.0,0.0,0.05,0.15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.2,0.0
Austin Powers in Goldmember,0.2,0.15,0.0,0.05,0.0,0.95,0.0,0.7,0.0,0.05,0.0,0.4,0.25,1.0,0.0,0.0,0.0,0.1,0.1,0.05,0.0,0.05,0.6,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The World According to Garp,0.05,0.1,0.0,0.2,0.25,0.6,0.05,0.55,0.0,0.9,0.15,0.2,0.05,0.95,0.1,0.15,0.0,0.1,0.0,0.1,0.0,0.7,0.45,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0
"Crazy, Stupid, Love.",0.1,0.05,0.0,0.15,0.0,0.85,0.05,0.6,0.0,0.7,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.1,0.05,0.05,0.0,0.9,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0
The Bubble,0.01,0.0,0.0,0.05,0.0,0.75,0.0,0.8,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What a Way to Go!,0.05,0.0,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chloe,0.05,0.01,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Poltergeist,0.05,0.1,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.2,0.05,0.3,0.15,0.95,0.0,0.0,0.7,0.05,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0
High School Musical 3: Senior Year,0.1,0.2,0.0,0.05,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.8,0.95,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.1
There Will Be Blood,0.1,0.05,0.0,0.75,0.2,0.0,0.15,0.0,0.0,0.95,0.6,0.0,0.0,1.0,0.1,0.2,0.05,0.05,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0
Accepted,0.0,0.0,0.0,0.05,0.0,0.95,0.0,0.8,0.0,0.7,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
