movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark_comedy,historical drama,romantic comedy,science fiction
The Professionals,0.85,0.7,0.0,0.05,0.0,0.1,0.2,0.0,0.0,0.6,0.15,0.0,0.0,1.0,0.1,0.2,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.9,0.0,0.0,0.0,0.0
Crossing Delancey,0.01,0.05,0.0,0.2,0.65,0.1,0.05,0.05,0.0,0.9,0.0,0.2,0.0,0.95,0.3,0.0,0.0,0.15,0.15,0.05,0.0,0.25,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.7,0.05,0.0
Made of Honor,0.05,0.0,0.0,0.0,0.0,0.7,0.0,0.65,0.0,0.6,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Summer School,0.05,0.01,0.0,0.05,0.0,0.7,0.0,0.2,0.0,0.4,0.0,0.1,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman of the Hour,0.05,0.0,0.0,0.15,0.1,0.05,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.15,0.0
Sudden Impact,0.95,0.0,0.0,0.05,0.0,0.0,0.9,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.7,0.0,0.0,0.0,0.0,0.9,0.0,0.8,0.0,0.0,0.0,0.0
The Hidden,0.2,0.15,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Stealth,0.95,0.8,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Home Again,0.05,0.0,0.0,0.1,0.0,0.4,0.0,0.15,0.0,0.7,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.6,0.5,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Halloween: The Curse of Michael Myers,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.9,0.1,0.0,0.95,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Curly Sue,0.05,0.05,0.0,0.0,0.0,0.95,0.0,0.1,0.0,0.2,0.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Mothers' Instinct,0.01,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.1,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Return to Salem's Lot,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.1,0.0,0.95,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0
Catwoman,0.6,0.2,0.0,0.1,0.05,0.15,0.4,0.0,0.0,0.5,0.0,0.0,0.1,1.0,0.0,0.0,0.2,0.1,0.0,0.3,0.15,0.25,0.0,0.0,0.0,0.65,0.0,0.0,0.1,0.0,0.0,0.0
The Sea of Trees,0.05,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.85,0.2,0.05,0.0,1.0,0.15,0.15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Final Destination,0.2,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.95,0.0,0.0,0.9,0.05,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.95,0.0,0.0,0.02,0.0,0.0,0.0
Pride and Prejudice and Zombies,0.75,0.6,0.0,0.1,0.05,0.5,0.0,0.4,0.0,0.7,0.15,0.2,0.65,0.95,0.8,0.0,0.55,0.1,0.05,0.25,0.0,0.75,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.85,0.6,0.1
"As Above, So Below",0.2,0.35,0.0,0.4,0.0,0.05,0.1,0.0,0.0,0.7,0.15,0.0,0.25,0.95,0.3,0.2,0.65,0.05,0.0,0.8,0.1,0.0,0.0,0.1,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Demolition Man,0.85,0.2,0.0,0.1,0.0,0.7,0.05,0.75,0.0,0.6,0.15,0.25,0.05,1.0,0.1,0.0,0.0,0.1,0.0,0.15,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.05,0.5,0.95
Failure to Launch,0.0,0.0,0.0,0.05,0.0,0.85,0.0,0.2,0.0,0.7,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.4,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Survival Island,0.7,0.85,0.0,0.05,0.0,0.1,0.15,0.05,0.0,0.6,0.2,0.25,0.0,0.95,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Alex Cross,0.7,0.1,0.0,0.05,0.15,0.05,0.9,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.05,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
The Amateur,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.1,0.6,0.0,0.0,0.0,1.0,0.1,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
Polar,0.95,0.8,0.0,0.1,0.05,0.0,0.9,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.05,0.0,0.85,0.15,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Spotlight,0.05,0.01,0.0,0.05,0.95,0.02,0.8,0.0,0.0,0.99,0.01,0.0,0.0,1.0,0.9,0.95,0.0,0.01,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
This Is Where I Leave You,0.01,0.01,0.0,0.05,0.0,0.65,0.01,0.3,0.0,0.9,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.15,0.0
Donnie Brasco,0.2,0.05,0.0,0.15,0.9,0.05,0.95,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.7,0.8,0.0,0.05,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Scarlet Street,0.05,0.0,0.0,0.75,0.0,0.1,0.6,0.2,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.5,0.95,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
The Handmaid's Tale,0.05,0.01,0.0,0.15,0.2,0.0,0.05,0.0,0.0,0.95,0.05,0.0,0.0,0.99,0.7,0.9,0.1,0.05,0.0,0.1,0.0,0.01,0.0,0.02,0.0,0.15,0.05,0.0,0.0,0.0,0.0,0.0
South Pacific,0.1,0.2,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.7,0.2,0.5,0.0,1.0,0.6,0.0,0.0,0.9,0.95,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.7,0.1,0.0
Twister,0.95,0.7,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.6,0.2,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Ghostbusters II,0.75,0.6,0.0,0.05,0.0,0.8,0.0,0.7,0.0,0.1,0.15,0.65,0.4,1.0,0.0,0.0,0.1,0.15,0.0,0.1,0.0,0.05,0.0,0.85,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Ice Age: Dawn of the Dinosaurs,0.25,0.85,0.95,0.1,0.0,0.7,0.0,0.2,0.0,0.3,0.15,0.9,0.4,1.0,0.0,0.0,0.05,0.15,0.05,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.05
The Little Hours,0.01,0.01,0.0,0.2,0.01,0.4,0.0,0.3,0.0,0.9,0.05,0.1,0.01,1.0,0.7,0.0,0.0,0.05,0.0,0.05,0.0,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.8,0.1,0.0
The Girl in the Park,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Junior,0.05,0.1,0.0,0.0,0.0,0.85,0.0,0.2,0.0,0.6,0.0,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juror #2,0.01,0.0,0.0,0.0,0.0,0.0,0.85,0.05,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Baby Boy,0.1,0.0,0.0,0.05,0.0,0.7,0.15,0.55,0.0,0.9,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.15,0.0
Carrie,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.1,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Blockers,0.05,0.01,0.0,0.0,0.0,0.85,0.0,0.7,0.0,0.3,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.45,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Jurassic Park III,0.85,0.9,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.15,0.2,0.6,0.0,0.95,0.0,0.0,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Innerspace,0.7,0.65,0.0,0.05,0.0,0.8,0.0,0.0,0.0,0.6,0.1,0.5,0.7,1.0,0.0,0.0,0.1,0.15,0.0,0.4,0.0,0.2,0.25,0.95,0.0,0.7,0.0,0.0,0.75,0.0,0.0,0.0
Miss Sloane,0.2,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Flashdance,0.2,0.05,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.7,0.65,0.0,0.0,0.25,0.15,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
Born on the Fourth of July,0.1,0.0,0.0,0.05,0.95,0.0,0.0,0.0,0.0,0.9,0.05,0.0,0.0,1.0,0.8,0.9,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.75,0.0,0.0,0.0,0.0,0.0
Paranormal Activity,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.95,0.0,0.0,0.99,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Cocaine Bear,0.2,0.1,0.0,0.05,0.0,0.7,0.4,0.85,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Vicky Cristina Barcelona,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.2,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
The Golden Voyage of Sinbad,0.85,0.95,0.01,0.2,0.05,0.1,0.0,0.0,0.0,0.15,0.7,0.75,0.9,1.0,0.1,0.1,0.05,0.15,0.0,0.2,0.0,0.05,0.0,0.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Black Book,0.2,0.0,0.0,0.05,0.7,0.0,0.85,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.05,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.8,0.0,0.0
Night Swim,0.05,0.0,0.0,0.3,0.0,0.05,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genius,0.01,0.01,0.0,0.1,0.95,0.01,0.0,0.0,0.0,0.9,0.05,0.0,0.0,0.99,0.95,0.9,0.0,0.15,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Wedding Daze,0.0,0.0,0.0,0.05,0.0,0.7,0.0,0.2,0.0,0.4,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
The Shawshank Redemption,0.1,0.05,0.0,0.15,0.7,0.0,0.95,0.0,0.0,0.9,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.8,0.05,0.05,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.05,0.0,0.0
La Cocina,0.01,0.0,0.0,0.2,0.1,0.0,0.05,0.0,0.75,0.5,0.0,0.05,0.0,0.75,0.25,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0
The Bone Collector,0.85,0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0
Retribution,0.8,0.2,0.0,0.05,0.0,0.0,0.75,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
From Paris with Love,0.75,0.2,0.0,0.05,0.0,0.05,0.6,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Robots,0.2,0.35,0.95,0.4,0.05,0.8,0.0,0.6,0.0,0.65,0.1,0.9,0.25,0.98,0.05,0.0,0.0,0.55,0.45,0.15,0.0,0.25,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.15,0.75
Miracle on 34th Street,0.01,0.02,0.0,0.05,0.02,0.25,0.0,0.02,0.0,0.3,0.01,0.95,0.2,0.98,0.02,0.0,0.0,0.02,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.05,0.0
Pleasure,0.01,0.01,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shall We Dance?,0.05,0.1,0.0,0.15,0.0,0.9,0.0,0.0,0.0,0.7,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.8,0.95,0.0,0.0,0.9,0.95,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
The Mothman Prophecies,0.1,0.2,0.0,0.15,0.4,0.05,0.0,0.0,0.6,0.5,0.05,0.1,0.15,0.7,0.5,0.45,0.25,0.05,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Batman & Robin,0.7,0.5,0.0,0.1,0.0,0.3,0.2,0.0,0.0,0.15,0.0,0.2,0.1,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0
Karate Kid: Legends,0.85,0.6,0.0,0.05,0.1,0.2,0.0,0.0,0.0,0.7,0.0,0.9,0.0,0.95,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.15,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0
300,0.95,0.8,0.0,0.1,0.15,0.05,0.0,0.0,0.0,0.6,0.75,0.1,0.2,0.95,0.7,0.7,0.05,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.5,0.0,0.0,0.0,0.0,0.0
Mike and Dave Need Wedding Dates,0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.8,0.0,0.2,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0
Beast,0.75,0.6,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.7,0.15,0.05,0.0,0.95,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
The Princess Bride,0.6,0.95,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.7,0.2,0.98,0.9,1.0,0.05,0.05,0.05,0.1,0.05,0.5,0.0,0.85,0.8,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0
The Ninth Gate,0.2,0.55,0.0,0.7,0.1,0.05,0.15,0.0,0.0,0.8,0.25,0.0,0.65,0.95,0.4,0.3,0.45,0.1,0.0,0.9,0.2,0.05,0.0,0.05,0.0,0.85,0.0,0.0,0.1,0.0,0.0,0.0
Black Cab,0.2,0.05,0.0,0.1,0.0,0.15,0.7,0.15,0.0,0.65,0.0,0.0,0.0,1.0,0.05,0.05,0.0,0.05,0.0,0.4,0.1,0.05,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Timeline,0.7,0.65,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.15,0.2,0.95,0.3,0.35,0.1,0.0,0.0,0.55,0.0,0.0,0.0,0.85,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Jurassic Park III,0.85,0.9,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.15,0.2,0.6,0.0,1.0,0.0,0.0,0.7,0.05,0.0,0.1,0.0,0.0,0.0,0.95,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Sunset Boulevard,0.1,0.05,0.0,0.85,0.2,0.05,0.15,0.1,0.0,0.95,0.15,0.0,0.0,1.0,0.05,0.0,0.05,0.25,0.1,0.7,0.9,0.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0,0.0
Janet Planet,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.15,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airplane Mode,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.9,0.0,0.1,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
See You on Venus,0.05,0.1,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.15,0.0,0.1,0.0,0.5,0.4,0.2,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0
Gentlemen Broncos,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.7,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.0,0.0
The Legend of Billie Jean,0.05,0.0,0.0,0.1,0.85,0.0,0.0,0.0,0.0,0.95,0.0,0.1,0.0,1.0,0.8,0.0,0.0,0.9,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
Zombie Strippers!,0.2,0.0,0.0,0.05,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.8,0.0,0.0,0.0
The Addams Family,0.1,0.15,0.0,0.2,0.0,0.85,0.05,0.7,0.0,0.25,0.05,0.95,0.1,1.0,0.0,0.0,0.2,0.15,0.1,0.05,0.0,0.05,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Gold,0.1,0.15,0.0,0.05,0.2,0.05,0.1,0.05,0.0,0.7,0.05,0.05,0.0,1.0,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0
The NeverEnding Story II: The Next Chapter,0.1,0.65,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.2,0.1,0.7,0.85,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paranormal Activity,0.01,0.01,0.0,0.05,0.0,0.0,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.95,0.0,0.0,0.99,0.02,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0
Cocaine Bear,0.1,0.05,0.0,0.05,0.0,0.7,0.2,0.8,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Please Don't Destroy: The Treasure of Foggy Mountain,0.6,0.75,0.95,0.2,0.0,0.9,0.0,0.0,0.0,0.2,0.1,0.8,0.4,1.0,0.1,0.0,0.0,0.4,0.5,0.2,0.0,0.05,0.1,0.0,0.0,0.15,0.0,0.0,0.85,0.0,0.0,0.0
Fury,0.95,0.6,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.9,0.75,0.0,0.0,1.0,0.8,0.0,0.1,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.85,0.98,0.0,0.0,0.9,0.0,0.0
Wild Child,0.05,0.1,0.0,0.05,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0
Fallen,0.7,0.0,0.0,0.05,0.0,0.0,0.9,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.85,0.15,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Devil,0.05,0.0,0.0,0.05,0.0,0.0,0.8,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
