Title,Year,Duration,Rated,IMDB Rating,Number of Ratings,Description,Genre,Runtime,Director,Writer,Actors,Rating,Awards,Descrption,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
Horrible Bosses,2011,1h 38m,R,6.9,475K,"1h 38m
R
6.9
 (475K)
Rate
57
Metascore
Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.",,,,,,,,,0.1,0.0,0.0,0.05,0.0,0.95,0.15,0.85,0.0,0.2,0.0,0.1,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1,0.0
Nacho Libre,2006,1h 32m,PG,5.9,96K,"1h 32m
PG
5.9
 (96K)
Rate
52
Metascore
Berated all his life by those around him, a monk follows his dream and dons a mask to moonlight as a Luchador (Mexican wrestler).",,,,,,,,,0.2,0.3,0.0,0.1,0.0,0.85,0.05,0.6,0.0,0.4,0.0,0.7,0.25,1.0,0.0,0.05,0.0,0.45,0.55,0.0,0.0,0.05,0.2,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Witches,2020,1h 46m,PG,5.4,48K,"1h 46m
PG
5.4
 (48K)
Rate
47
Metascore
A young boy and his grandmother have a run-in with a coven of witches and their leader.",,,,,,,,,0.05,0.2,0.0,0.15,0.0,0.7,0.0,0.65,0.0,0.4,0.0,0.6,0.85,1.0,0.0,0.0,0.8,0.05,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Star Trek Into Darkness,2013,2h 12m,PG,7.7,501K,"2h 12m
PG-13
7.7
 (501K)
Rate
72
Metascore
After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",,,,,,,,,0.95,0.9,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.2,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.98
Maleficent: Mistress of Evil,2019,1h 59m,PG,6.6,122K,"1h 59m
PG
6.6
 (122K)
Rate
43
Metascore
Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.",,,,,,,,,0.7,0.65,0.0,0.15,0.05,0.1,0.0,0.0,0.0,0.75,0.5,0.6,0.9,1.0,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.0,0.05,0.0,0.0,0.0
The Bad Guys,2022,1h 40m,G,6.8,64K,"1h 40m
PG
6.8
 (64K)
Rate
64
Metascore
To avoid prison, a gang of notorious animal criminals pretends to seek being rehabilitated, only for their leader to realize that he genuinely wants to change his ways.",,,,,,,,,0.2,0.5,0.95,0.1,0.0,0.85,0.05,0.7,0.0,0.25,0.0,0.9,0.15,1.0,0.0,0.0,0.0,0.15,0.2,0.05,0.0,0.05,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
48 Hrs.,1982,1h 36m,R,6.9,88K,"1h 36m
R
6.9
 (88K)
Rate
71
Metascore
A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him in order to track down a killer.",,,,,,,,,0.95,0.05,0.0,0.0,0.0,0.7,0.98,0.8,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
The Living Daylights,1987,2h 10m,PG,6.7,108K,"2h 10m
PG
6.7
 (108K)
Rate
59
Metascore
James Bond is sent to investigate a KGB policy to kill all enemy spies, and uncovers an arms deal that potentially has major global ramifications.",,,,,,,,,0.95,0.9,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.7,0.1,0.1,0.0,1.0,0.1,0.1,0.0,0.2,0.0,0.8,0.1,0.2,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Bound,1996,1h 49m,R,7.3,63K,"1h 49m
R
7.3
 (63K)
Rate
64
Metascore
Tough ex-con Corky and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.",,,,,,,,,0.2,0.0,0.0,0.6,0.0,0.2,0.8,0.3,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.7,0.2,0.6,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Carlito's Way,1993,2h 24m,R,7.9,237K,"2h 24m
R
7.9
 (237K)
Rate
66
Metascore
A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",,,,,,,,,0.2,0.0,0.0,0.1,0.2,0.1,0.95,0.1,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Heartbreak Ridge,1986,2h 10m,R,6.8,49K,"2h 10m
R
6.8
 (49K)
Rate
53
Metascore
Hard-nosed, hard-living Marine Gunnery Sergeant Tom Highway clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",,,,,,,,,0.95,0.2,0.0,0.05,0.0,0.1,0.15,0.05,0.0,0.5,0.1,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.15,0.0,0.0,0.0,0.0,0.0
Cash Out,2024,1h 32m,R,4.7,,"1h 32m
R
4.7
 (2.3K)
Rate
46
Metascore
Professional thief Mason attempts his biggest heist with his brother, robbing a bank. When it goes wrong, they're trapped inside surrounded by law enforcement. Tension rises as Mason negotiates with his ex-lover, the lead negotiator.",,,,,,,,,0.7,0.1,0.0,0.05,0.0,0.85,0.9,0.8,0.0,0.6,0.0,0.05,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Species,1995,1h 48m,R,5.9,88K,"1h 48m
R
5.9
 (88K)
Rate
49
Metascore
A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.",,,,,,,,,0.4,0.1,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8
A Cinderella Story,2004,1h 35m,PG,5.9,96K,"1h 35m
PG
5.9
 (96K)
Rate
25
Metascore
Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",,,,,,,,,0.05,0.1,0.0,0.05,0.0,0.6,0.0,0.1,0.0,0.5,0.0,0.8,0.2,1.0,0.0,0.05,0.0,0.2,0.15,0.05,0.0,0.9,0.95,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Cook Off!,2007,1h 38m,R,4.3,,"1h 38m
R
4.3
 (1.4K)
Rate
Amateur ""chefs"" from around the country compete for a million dollar prize in the ultimate food fight.",,,,,,,,,0.01,0.01,0.0,0.05,0.01,0.75,0.0,0.05,0.0,0.15,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
To Catch a Killer,2023,1h 59m,R,6.6,45K,"1h 59m
R
6.6
 (45K)
Rate
43
Metascore
An intuitive but troubled police officer is recruited by an FBI expert to stop a relentless shooter who is terrorizing Baltimore.",,,,,,,,,0.2,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Demolition,2015,1h 41m,R,7.0,118K,"1h 41m
R
7.0
 (118K)
Rate
49
Metascore
A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew.",,,,,,,,,0.01,0.0,0.0,0.3,0.0,0.05,0.0,0.1,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
End of Watch,2012,1h 49m,R,7.6,275K,"1h 49m
R
7.6
 (275K)
Rate
68
Metascore
Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves.",,,,,,,,,0.95,0.0,0.0,0.0,0.0,0.2,0.6,0.15,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
The Hunchback of Notre Dame,1996,1h 31m,G,7.0,175K,"1h 31m
G
7.0
 (175K)
Rate
74
Metascore
A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.",,,,,,,,,0.2,0.4,0.95,0.7,0.0,0.3,0.1,0.0,0.0,0.8,0.5,0.85,0.75,1.0,0.6,0.0,0.1,0.9,0.7,0.25,0.0,0.35,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.65,0.0,0.0
Tetris,2023,1h 58m,R,7.4,91K,"), leading to tense negotiations in the Soviet Union, involving creators, government, and corporate intrigues.",,,,,,,,,0.01,0.01,0.0,0.1,0.9,0.05,0.01,0.02,0.1,0.95,0.01,0.05,0.0,0.99,0.9,0.9,0.0,0.03,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Tarzan,1999,1h 28m,G,7.3,254K,"1h 28m
G
7.3
 (254K)
Rate
80
Metascore
A man raised by gorillas must decide where he really belongs when he discovers he is a human.",,,,,,,,,0.95,0.98,0.0,0.1,0.15,0.2,0.05,0.0,0.0,0.7,0.6,0.85,0.75,1.0,0.25,0.0,0.05,0.2,0.1,0.15,0.0,0.4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.3,0.0,0.05
Annie,2014,1h 58m,PG,5.4,41K,"1h 58m
PG
5.4
 (41K)
Rate
33
Metascore
A foster kid who lives with her mean foster mom sees her life change when business tycoon and New York City mayoral candidate Will Stacks makes a thinly-veiled campaign move and takes her in.",,,,,,,,,0.05,0.1,0.7,0.15,0.0,0.5,0.0,0.1,0.0,0.25,0.0,0.9,0.05,1.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dressed to Kill,1980,1h 44m,R,7.1,51K,"1h 44m
R
7.1
 (51K)
Rate
74
Metascore
A mysterious blonde woman kills one of a psychiatrist's patients, and then goes after the high-class call girl who witnessed the murder.",,,,,,,,,0.15,0.0,0.0,0.05,0.0,0.05,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.95,0.0,0.0,0.7,0.05,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0
Jerry and Marge Go Large,2022,1h 36m,G,6.9,28K,"1h 36m
PG-13
6.9
 (28K)
Rate
52
Metascore
Based on the true story about long-married couple Jerry and Marge Selbee, who win the lottery and use the money to revive their small town.",,,,,,,,,0.0,0.0,0.0,0.05,0.8,0.95,0.1,0.7,0.0,0.75,0.0,0.6,0.0,1.0,0.2,0.5,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Mandy,2018,2h 1m,R,6.5,93K,"2h 1m
Not Rated
6.5
 (93K)
Rate
83
Metascore
The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.",,,,,,,,,0.95,0.2,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.8,0.4,0.0,0.1,1.0,0.0,0.0,0.98,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The BFG,2016,1h 57m,G,6.3,95K,"1h 57m
PG
6.3
 (95K)
Rate
66
Metascore
An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",,,,,,,,,0.1,0.75,0.9,0.2,0.05,0.6,0.0,0.15,0.0,0.65,0.15,0.95,0.98,0.95,0.05,0.0,0.05,0.1,0.15,0.2,0.0,0.1,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Street Fighter,1994,1h 42m,PG,4.1,77K,"1h 42m
PG-13
4.1
 (77K)
Rate
34
Metascore
In the midst of a civil war in South East Asia, a general intensifies the climate of violence by kidnapping 63 UN delegates. To free the hostages, a colonel leads a group of fighters, who will have to use all their skills to be successful.",,,,,,,,,0.95,0.6,0.0,0.05,0.1,0.2,0.0,0.0,0.0,0.4,0.1,0.5,0.15,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.15,0.0,0.0,0.2
Richard Jewell,2019,2h 11m,R,7.5,101K,"Atlanta Olympics, but his life becomes a nightmare when the FBI leaks to the media that he is a suspect in the case.",,,,,,,,,0.0,0.0,0.0,0.05,0.95,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.7,0.9,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Queen of the Damned,2002,1h 41m,R,5.3,62K,"), the vampire Lestat becomes a rock star whose music wakes up the equally beautiful and monstrous queen of all vampires.",,,,,,,,,0.6,0.3,0.0,0.1,0.2,0.05,0.15,0.0,0.0,0.7,0.25,0.0,0.85,1.0,0.2,0.0,0.9,0.15,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.2,0.0,0.8
The Homesman,2014,2h 2m,R,6.6,37K,"2h 2m
R
6.6
 (37K)
Rate
68
Metascore
Three women who have been driven mad by pioneer life are to be transported across the country by covered wagon by the pious, independent-minded Mary Bee Cuddy, who in turn employs low-life drifter George Briggs to assist her.",,,,,,,,,0.05,0.1,0.0,0.2,0.7,0.0,0.05,0.0,0.0,0.95,0.15,0.0,0.0,1.0,0.9,0.9,0.0,0.1,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0
The Bourne Legacy,2012,2h 15m,PG,6.6,319K,"2h 15m
PG-13
6.6
 (319K)
Rate
61
Metascore
An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films.",,,,,,,,,0.95,0.8,0.0,0.05,0.1,0.0,0.7,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.75,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Masters of the Universe,1987,1h 46m,PG,5.4,45K,"1h 46m
PG
5.4
 (45K)
Rate
35
Metascore
The heroic warrior He-Man battles against the evil lord Skeletor and his armies of darkness for control of Castle Grayskull.",,,,,,,,,0.85,0.7,0.2,0.05,0.0,0.1,0.0,0.0,0.0,0.25,0.5,0.6,0.9,0.95,0.0,0.0,0.05,0.15,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.75
Double Jeopardy,1999,1h 45m,R,6.5,98K,"1h 45m
R
6.5
 (98K)
Rate
41
Metascore
Libby Parsons, wrongly convicted for her husband Nick's murder, thinks he is still alive and wants to settle the score and find their son. As she has been tried for the crime, she cannot be re-prosecuted if she finds and kills Nick.",,,,,,,,,0.75,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Love Witch,2016,2h,Unrated,6.2,21K,"2h
Unrated
6.2
 (21K)
Rate
82
Metascore
A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences.",,,,,,,,,0.0,0.0,0.0,0.85,0.0,0.2,0.0,0.7,0.0,0.9,0.0,0.0,0.05,1.0,0.0,0.0,0.1,0.25,0.05,0.15,0.0,0.8,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.1,0.0
The Noel Diary,2022,1h 39m,R,6.1,20K,"1h 39m
TV-14
6.1
 (20K)
Rate
63
Metascore
The story of a man who returns home on Christmas to settle his estranged mother's estate. Once there, he discovers a diary that may hold secrets to his own past and of a beautiful young woman on a mysterious journey of her own.",,,,,,,,,0.0,0.0,0.0,0.05,0.2,0.05,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.95,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renfield,2023,1h 33m,R,6.4,103K,"1h 33m
R
6.4
 (103K)
Rate
53
Metascore
Renfield, Dracula's tortured henchman, is forced to capture prey for his master and do his every bidding. But now, after centuries of servitude, Renfield is ready to see if there is a life outside his boss's shadow.",,,,,,,,,0.6,0.2,0.0,0.05,0.25,0.8,0.4,0.85,0.0,0.7,0.0,0.1,0.15,1.0,0.2,0.0,0.3,0.1,0.0,0.45,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.15,0.0
Valkyrie,2008,2h 1m,PG,7.1,263K,assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.,,,,,,,,,0.7,0.1,0.0,0.05,0.85,0.0,0.05,0.0,0.0,0.9,0.2,0.0,0.0,0.95,0.95,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.0,0.0,0.9,0.0,0.0
Daddy's Home 2,2017,1h 40m,PG,6.0,84K,"1h 40m
PG-13
6.0
 (84K)
Rate
30
Metascore
Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.",,,,,,,,,0.1,0.15,0.0,0.0,0.0,0.85,0.0,0.3,0.0,0.2,0.0,0.95,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
National Treasure: Book of Secrets,2007,2h 4m,PG,6.5,258K,"2h 4m
PG
6.5
 (258K)
Rate
48
Metascore
Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.",,,,,,,,,0.7,0.95,0.0,0.6,0.1,0.2,0.15,0.05,0.0,0.25,0.3,0.8,0.1,0.9,0.85,0.4,0.0,0.1,0.0,0.8,0.0,0.05,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
All About Eve,1950,2h 18m,R,8.2,142K,"2h 18m
Approved
8.2
 (142K)
Rate
98
Metascore
A seemingly timid but secretly ruthless ing̩nue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.",,,,,,,,,0.0,0.0,0.0,0.65,0.2,0.3,0.0,0.4,0.0,0.95,0.05,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Predators,2010,1h 47m,R,6.4,249K,"1h 47m
R
6.4
 (249K)
Rate
51
Metascore
A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.",,,,,,,,,0.95,0.7,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.6,0.2,0.0,0.1,1.0,0.0,0.0,0.2,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.9
Wild Things: Diamonds in the Rough,2005,1h 27m,R,4.5,,"1h 27m
R
4.5
 (5.5K)
Rate
Two young women will stop at nothing for one to gain a $4 million inheritance of two priceless diamonds, while two detectives try to thwart their plans, but find complications abound.",,,,,,,,,0.2,0.15,0.0,0.3,0.0,0.1,0.05,0.0,0.0,0.4,0.0,0.05,0.0,0.95,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0
I Care a Lot,2020,1h 58m,R,6.4,150K,"1h 58m
R
6.4
 (150K)
Rate
66
Metascore
A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.",,,,,,,,,0.05,0.0,0.0,0.05,0.0,0.1,0.8,0.7,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Eighth Grade,2018,1h 33m,G,7.4,84K,"1h 33m
R
7.4
 (84K)
Rate
85
Metascore
An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.",,,,,,,,,0.0,0.0,0.0,0.25,0.0,0.8,0.0,0.75,0.0,0.95,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin,2018,1h 58m,R,6.8,20K,"1h 58m
R
6.8
 (20K)
Rate
58
Metascore
A destitute young man, raised by racist skinheads and notorious among white supremacists, turns his back on hatred and violence to transform his life, with the help of a black activist and the woman he loves.",,,,,,,,,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
